                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                 1.1099,                0.78957,                 1.0319,                0.91496,                0.59758,                0.76689,                0.58864,                 1.2205,                0.86762,                 1.0836,               0.004852,               0.004852,               0.004852
                    106,                 1.1099,                0.79132,                 1.0337,                0.91582,                  0.598,                0.76727,                0.58857,                 1.2209,                0.86733,                 1.0841,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.1099,                0.78866,                 1.0314,                0.91234,                 0.5981,                0.76648,                0.58773,                 1.2212,                0.86689,                 1.0839,               0.004753,               0.004753,               0.004753
                    108,                 1.1058,                0.78777,                 1.0307,                0.91242,                0.59882,                0.76673,                0.58797,                 1.2203,                0.86682,                 1.0839,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.1038,                0.78581,                 1.0292,                0.91234,                0.59866,                0.76644,                0.58856,                 1.2198,                 0.8663,                 1.0836,               0.004654,               0.004654,               0.004654
                    110,                 1.1026,                0.78358,                   1.03,                0.91202,                0.59822,                0.76617,                  0.588,                 1.2194,                0.86631,                 1.0834,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.1014,                 0.7845,                 1.0295,                0.91262,                0.59813,                0.76624,                0.58824,                 1.2195,                0.86627,                 1.0834,               0.004555,               0.004555,               0.004555
                    112,                 1.0998,                0.78259,                 1.0292,                 0.9121,                0.59882,                0.76668,                0.58806,                 1.2197,                0.86638,                 1.0834,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.1012,                0.78298,                 1.0292,                0.91239,                0.59947,                0.76707,                0.58899,                 1.2197,                 0.8656,                 1.0837,               0.004456,               0.004456,               0.004456
                    114,                 1.0985,                0.77815,                 1.0284,                 0.9107,                0.60127,                0.76747,                 0.5892,                 1.2192,                0.86489,                 1.0833,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.0999,                0.78018,                 1.0296,                0.91113,                0.60202,                0.76792,                0.58889,                 1.2194,                0.86498,                 1.0832,               0.004357,               0.004357,               0.004357
                    116,                 1.1001,                0.77543,                  1.027,                0.91134,                0.60019,                0.76711,                0.58831,                 1.2198,                0.86492,                 1.0832,              0.0043075,              0.0043075,              0.0043075
                    117,                  1.094,                0.77079,                 1.0255,                0.91257,                0.60027,                0.76755,                0.58819,                 1.2194,                0.86445,                 1.0831,               0.004258,               0.004258,               0.004258
                    118,                 1.1007,                 0.7788,                 1.0282,                0.91169,                0.60045,                0.76744,                0.58828,                 1.2193,                0.86464,                 1.0828,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.0919,                0.77172,                 1.0254,                0.91161,                0.60043,                0.76731,                0.58843,                 1.2196,                0.86448,                  1.083,               0.004159,               0.004159,               0.004159
                    120,                  1.093,                0.77188,                 1.0247,                0.91101,                0.59996,                0.76691,                0.58821,                 1.2197,                0.86464,                 1.0828,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.0939,                0.77184,                 1.0239,                0.91064,                0.60032,                0.76695,                0.58826,                 1.2196,                0.86439,                 1.0827,                0.00406,                0.00406,                0.00406
                    122,                 1.0928,                0.77039,                 1.0238,                0.91034,                0.60046,                 0.7669,                0.58813,                   1.22,                0.86427,                 1.0826,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.0885,                0.76449,                 1.0233,                0.91186,                0.60024,                0.76709,                0.58807,                 1.2202,                0.86356,                 1.0825,               0.003961,               0.003961,               0.003961
                    124,                 1.0894,                0.76734,                 1.0245,                0.91147,                0.60029,                0.76716,                0.58855,                   1.22,                 0.8631,                 1.0828,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.0899,                0.76687,                 1.0214,                0.91216,                 0.6007,                0.76745,                0.58887,                 1.2197,                0.86307,                 1.0826,               0.003862,               0.003862,               0.003862
                    126,                 1.0898,                0.76656,                  1.023,                0.91206,                0.60176,                0.76808,                 0.5889,                 1.2199,                0.86305,                 1.0825,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.0849,                 0.7627,                 1.0204,                0.91093,                0.60132,                0.76756,                0.58856,                 1.2193,                0.86311,                 1.0824,               0.003763,               0.003763,               0.003763
                    128,                  1.084,                0.75797,                 1.0197,                0.91073,                0.60252,                0.76801,                0.58915,                 1.2188,                0.86208,                 1.0822,              0.0037135,              0.0037135,              0.0037135
                    129,                 1.0878,                0.76285,                 1.0227,                0.91114,                0.60271,                0.76829,                0.58931,                 1.2186,                0.86158,                 1.0819,               0.003664,               0.003664,               0.003664
